Size (bp),F1: 1,F2: 2,F3: 3,F4: 4,F5: 1,F6: 2,F7: 3,F8: 4,F9: SampF9,F10: SampF10,F11: SampF11,F12: ladder
313111.25,48.63,-38.37,63.60,-75.09,105.97,-38.92,47.63,24.79,-1.72,17.54,3.62,47.66
313838.37,46.87,-44.26,54.11,-77.61,125.16,-33.27,47.69,15.02,-2.51,18.31,7.66,43.77
314565.53,41.00,-48.83,54.81,-68.90,160.70,-34.37,47.76,6.50,2.10,22.88,8.92,37.28
315292.69,37.75,-52.64,61.27,-47.39,200.98,-38.06,49.19,-0.04,10.16,26.19,8.44,32.75
316019.84,42.52,-53.50,60.74,-22.73,228.49,-45.87,48.16,-6.22,14.74,26.72,8.07,30.57
316747.00,50.37,-50.44,50.61,-10.41,230.50,-56.70,39.12,-9.84,13.79,25.55,8.32,29.85
317474.16,53.24,-46.48,38.61,-16.78,208.92,-62.23,27.60,-9.84,10.93,24.98,8.54,30.55
318201.31,48.40,-43.30,32.65,-32.70,177.86,-59.65,24.31,-8.15,8.62,25.92,6.77,30.93
318928.47,37.61,-39.64,35.65,-44.23,149.89,-55.98,31.84,-7.22,7.16,25.70,2.81,31.12
319655.59,26.27,-35.49,41.84,-45.86,129.67,-56.62,43.98,-8.55,7.55,23.07,-0.16,36.04
320382.75,22.08,-32.47,41.39,-40.34,118.93,-58.56,54.87,-9.25,10.68,20.46,0.61,45.65
321109.91,27.86,-31.80,34.46,-33.81,114.77,-55.96,62.20,-2.80,14.86,19.74,5.02,49.70
321837.06,38.41,-33.56,31.14,-34.81,108.63,-49.01,63.14,12.11,18.15,20.81,10.86,41.84
322564.22,46.27,-36.86,35.47,-47.35,97.99,-44.91,56.04,27.83,20.84,22.26,15.03,29.87
323291.37,48.96,-40.59,41.72,-63.02,88.72,-48.59,44.65,35.79,21.93,23.07,16.21,23.97
324018.53,50.92,-43.24,46.40,-67.47,84.37,-55.15,33.88,34.33,18.46,24.60,15.19,25.53
324745.69,57.11,-42.52,51.40,-52.66,86.67,-55.71,25.21,26.23,12.30,27.15,12.60,31.59
325472.84,64.87,-36.89,55.86,-25.60,100.15,-48.01,19.88,14.03,9.46,28.01,8.79,37.85
326199.97,66.02,-28.52,55.80,-9.49,121.09,-36.79,19.89,-0.49,10.04,26.28,4.89,38.61
326927.12,59.19,-24.22,50.92,-24.00,134.28,-27.16,22.59,-14.67,8.32,24.52,2.69,33.55
327654.28,54.23,-29.56,43.81,-60.07,132.61,-23.04,21.17,-22.66,4.06,24.26,3.20,28.99
328381.44,57.94,-40.40,38.49,-87.46,123.51,-26.39,13.20,-19.26,2.89,24.50,5.16,29.40
329108.59,62.29,-46.74,42.48,-86.88,119.75,-29.98,4.14,-7.53,6.02,24.74,6.99,32.83
329835.75,57.51,-46.15,56.06,-64.19,115.99,-33.57,1.83,4.13,8.87,25.88,8.96,34.48
330562.91,47.14,-43.73,64.75,-40.57,117.23,-38.17,10.49,13.40,7.69,27.32,10.83,34.10
331290.06,37.80,-40.41,60.87,-36.27,130.30,-38.49,27.54,27.44,3.20,27.21,10.90,36.93
332017.19,31.62,-35.07,54.60,-52.22,145.53,-37.75,43.79,49.01,-0.55,25.60,8.67,42.26
332744.34,33.28,-33.90,51.48,-66.04,148.06,-39.41,49.05,62.60,-1.23,24.05,5.07,41.54
333471.50,40.96,-42.00,45.27,-58.83,135.60,-44.48,40.59,52.19,-1.25,23.14,0.76,32.09
334198.66,41.56,-52.17,34.27,-38.55,119.06,-51.42,26.35,27.09,-3.03,22.67,-3.28,20.51
334925.81,33.79,-55.07,22.64,-24.90,106.78,-56.70,17.42,6.92,-4.91,22.20,-5.30,14.52
335652.97,31.49,-51.80,12.78,-23.04,98.82,-57.30,16.36,-4.16,-4.20,21.10,-4.23,17.89
336380.12,37.18,-48.65,7.04,-24.51,95.61,-52.20,16.25,-9.84,0.32,19.39,-0.75,27.71
337107.28,38.50,-48.46,7.88,-25.51,97.02,-42.01,11.97,-8.22,8.01,17.35,3.22,35.83
337834.44,29.50,-49.05,13.44,-29.65,96.58,-31.43,8.28,2.07,14.13,15.48,5.93,36.89
338561.56,17.38,-46.48,18.50,-33.55,89.45,-28.70,14.19,15.73,12.88,15.40,6.65,33.38
339288.72,10.87,-41.58,19.76,-26.65,79.62,-35.60,33.55,25.97,6.34,17.82,5.03,29.90
340015.87,11.50,-39.62,16.32,-10.35,74.44,-44.39,59.83,28.36,3.38,20.51,2.54,24.66
340743.03,13.98,-41.02,9.98,0.19,77.75,-48.34,75.77,20.02,8.10,20.32,3.56,15.59
341470.19,13.54,-40.38,8.60,-1.88,86.70,-48.23,68.57,3.91,15.30,16.13,9.30,9.68
342197.34,13.08,-35.64,7.21,-9.85,94.85,-48.48,47.12,-7.15,17.65,8.94,14.16,13.60
342924.50,17.27,-30.63,12.90,-19.57,100.61,-51.99,31.42,3.70,13.09,2.06,12.97,22.54
343651.66,22.54,-28.60,23.12,-26.32,106.88,-57.32,29.62,39.26,5.29,0.50,7.54,28.09
344378.78,22.02,-29.37,31.47,-33.07,111.70,-59.68,34.46,74.41,0.07,6.12,3.24,28.92
345105.94,16.58,-33.04,36.68,-49.24,111.42,-55.91,38.76,81.90,0.25,14.82,1.62,27.61
345833.09,12.85,-39.74,40.54,-64.28,112.07,-47.91,45.76,67.30,2.40,20.30,-0.15,24.52
346560.25,15.45,-45.64,45.41,-76.79,120.91,-40.40,56.64,49.78,1.54,20.07,-2.54,21.09
347287.41,27.18,-46.85,53.08,-85.00,131.31,-36.80,62.17,32.26,-2.56,17.85,-2.52,21.21
348014.56,47.35,-46.30,63.16,-84.45,131.72,-38.04,59.67,13.64,-6.52,18.81,1.75,24.08
348741.72,67.39,-48.06,72.68,-75.10,119.67,-42.00,56.03,-0.12,-7.50,22.28,8.53,25.89
349468.87,78.24,-49.30,75.60,-65.23,98.49,-44.19,50.57,-7.50,-5.26,23.37,12.63,28.18
350196.03,77.07,-47.05,66.76,-61.43,75.74,-42.88,41.08,-13.62,-1.72,21.07,10.30,34.27
350923.16,63.78,-44.68,50.03,-61.40,65.30,-41.42,35.62,-19.03,0.77,18.76,4.74,41.26
351650.31,43.75,-44.40,36.01,-61.22,73.10,-42.75,36.93,-18.27,0.76,18.96,1.04,43.07
352377.47,28.95,-42.59,30.96,-60.59,85.66,-46.70,36.03,-10.37,-0.53,21.47,-1.07,38.77
353104.62,25.50,-36.84,31.34,-60.34,89.20,-52.45,29.21,-1.43,-0.45,23.48,-4.21,33.12
353831.78,26.99,-30.08,29.37,-62.47,91.12,-57.73,21.43,2.97,0.06,22.44,-7.60,29.76
354558.94,24.12,-25.50,24.41,-68.76,105.36,-57.34,16.65,2.58,-1.64,20.50,-8.21,28.73
355286.09,16.20,-23.12,22.82,-74.62,125.95,-48.40,18.12,1.71,-3.32,21.13,-5.44,29.23
356013.25,9.88,-23.55,25.67,-71.64,133.88,-36.83,26.94,2.48,-1.77,23.21,-2.12,29.28
356740.37,8.13,-26.91,27.86,-61.25,122.08,-31.98,34.02,0.76,0.89,24.33,-0.51,26.52
357467.53,5.28,-28.40,26.39,-57.51,97.90,-35.56,28.61,-5.31,1.56,24.67,0.18,23.38
358194.69,-2.54,-24.10,22.90,-69.08,71.99,-42.12,16.25,-10.77,-0.12,25.17,1.05,26.53
358921.84,-7.38,-18.92,24.53,-84.66,54.42,-47.70,10.80,-12.39,-3.51,27.28,2.37,37.43
359649.00,-1.14,-21.32,38.23,-85.37,51.89,-51.60,11.72,-12.23,-5.85,30.87,5.23,46.83
360376.16,9.85,-31.50,58.13,-68.72,63.18,-52.71,12.63,-13.09,-4.04,31.06,9.39,46.36
361103.31,14.34,-40.66,68.90,-51.23,78.58,-49.46,13.26,-14.99,0.10,24.85,11.76,40.62
361830.47,12.01,-40.10,65.36,-46.64,85.45,-43.10,13.70,-14.32,3.20,18.11,11.39,37.27
362557.62,10.42,-30.18,59.25,-50.81,80.08,-37.45,20.87,-7.83,5.94,18.10,10.59,34.62
363284.75,12.52,-22.44,63.51,-53.19,71.97,-34.68,33.92,3.52,10.01,23.50,10.25,29.43
364011.91,15.11,-27.09,73.39,-51.81,70.51,-33.44,46.86,13.94,13.88,27.92,9.03,25.42
364739.06,17.17,-38.25,71.47,-48.53,75.44,-32.41,55.76,14.07,14.82,29.20,6.29,25.23
365466.22,18.89,-42.62,54.27,-41.24,84.78,-33.43,56.47,0.89,12.20,29.56,3.46,26.23
366193.37,20.62,-38.43,38.29,-33.10,97.81,-38.38,46.81,-15.07,7.16,29.68,2.98,28.55
366920.53,21.50,-33.64,34.54,-37.83,106.93,-45.19,33.35,-22.34,1.75,29.04,5.34,34.31
367647.69,13.55,-31.36,35.61,-59.89,103.34,-49.15,25.22,-20.87,-0.89,28.71,8.31,39.80
368374.84,1.13,-28.60,31.55,-84.36,89.63,-47.82,23.83,-16.08,0.82,28.92,10.12,39.38
369101.97,-6.29,-24.72,24.15,-100.50,74.17,-43.49,25.23,-10.85,4.03,28.03,11.94,32.92
369829.12,-6.14,-22.67,19.87,-111.63,63.04,-39.75,27.88,-6.04,5.22,25.84,14.14,24.07
370556.28,1.43,-25.13,17.81,-116.61,63.19,-38.30,32.42,-1.55,4.84,23.87,13.69,16.46
371283.44,14.51,-31.72,15.21,-109.16,78.88,-39.13,36.00,4.54,4.47,23.02,10.50,12.66
372010.59,24.81,-37.96,17.98,-92.85,104.17,-40.84,33.43,11.50,3.58,23.16,9.15,12.94
372737.75,27.10,-39.27,31.72,-78.54,127.43,-42.16,25.83,12.80,2.83,23.21,9.83,15.35
373464.91,24.49,-35.84,47.85,-72.69,139.88,-43.95,21.98,5.05,5.07,22.24,8.99,17.13
374192.06,18.73,-30.00,52.35,-75.27,139.93,-47.69,27.88,-0.08,9.73,21.45,7.82,16.40
374919.22,10.24,-22.60,43.72,-82.63,131.82,-52.09,39.17,-5.21,11.98,22.72,9.81,15.31
375646.34,4.65,-15.83,31.16,-90.46,118.55,-53.84,45.88,-9.77,9.74,25.01,14.37,18.43
376373.50,5.66,-12.37,21.05,-96.46,101.75,-51.67,42.60,-8.37,5.90,25.52,17.42,25.17
377100.66,8.08,-10.88,14.71,-100.04,88.16,-47.64,33.41,-6.78,4.75,23.99,15.24,30.65
377827.81,6.99,-9.12,13.58,-100.93,84.05,-44.11,26.01,-8.57,8.26,23.05,9.49,33.09
378554.97,8.23,-9.17,18.22,-98.91,85.59,-42.57,22.88,-12.59,12.55,24.47,6.27,32.95
379282.12,20.71,-14.55,25.80,-94.02,87.52,-44.07,20.34,-17.08,12.05,27.03,7.32,30.69
380009.28,39.77,-24.58,29.88,-86.05,92.89,-46.21,16.37,-20.04,8.37,28.64,7.98,27.71
380736.44,51.87,-33.57,33.95,-73.98,103.79,-43.13,15.51,-18.55,6.42,29.04,4.37,24.32
381463.56,54.94,-36.19,42.83,-60.04,113.24,-32.68,21.42,-12.95,5.82,29.04,-2.18,20.33
382190.72,58.35,-33.23,50.75,-50.65,113.76,-21.17,30.16,-7.58,3.87,28.71,-6.38,18.07
382917.87,64.86,-29.82,54.21,-47.98,107.24,-18.02,34.14,-6.24,1.47,28.72,-4.47,19.94
383645.03,66.17,-26.93,52.67,-48.32,100.75,-25.16,29.45,-9.39,2.45,30.52,1.20,24.57
384372.19,56.44,-20.69,49.00,-49.37,97.84,-35.01,20.89,-14.48,8.31,32.52,5.96,26.88
385099.34,41.50,-12.26,45.96,-52.24,99.66,-40.58,18.00,-17.19,14.82,30.78,8.60,24.09
385826.50,30.96,-8.78,43.93,-56.85,105.77,-41.43,22.26,-13.74,17.69,25.25,10.66,19.96
386553.66,26.66,-13.19,43.22,-58.76,109.40,-39.16,24.74,-5.72,17.03,19.48,12.27,18.95
387280.78,23.53,-21.18,45.21,-56.01,104.37,-34.74,19.95,0.57,12.96,14.63,11.45,20.56
388007.94,17.89,-26.77,47.63,-56.87,96.75,-30.27,13.13,2.43,6.16,10.47,8.07,22.83
388735.09,10.62,-27.68,45.75,-69.68,97.09,-28.19,11.06,2.64,1.13,10.38,5.03,25.30
389462.25,4.00,-28.04,39.94,-88.01,104.71,-28.33,13.37,3.74,0.75,17.66,3.15,26.13
390189.41,1.30,-33.42,33.60,-97.90,112.27,-29.17,15.53,4.59,2.77,27.97,-0.02,22.25
390916.56,6.24,-43.01,29.09,-95.64,116.12,-31.08,13.17,3.29,4.63,32.06,-5.01,15.55
391643.72,16.54,-51.65,31.17,-87.51,113.46,-34.72,4.09,4.53,5.75,26.81,-8.76,11.07
392370.87,23.73,-56.94,42.47,-76.89,104.28,-38.30,-7.44,16.91,5.43,18.65,-8.23,9.91
393098.03,24.27,-58.68,54.66,-62.20,94.96,-39.69,-11.67,37.72,4.18,14.30,-3.26,13.49
393825.16,24.00,-56.93,54.61,-44.53,88.75,-39.56,-3.84,51.53,5.05,13.71,2.38,24.96
394552.31,26.86,-54.74,39.42,-29.84,87.01,-40.36,9.86,48.83,8.15,14.53,3.57,37.60
395279.47,25.46,-56.37,21.30,-25.01,96.35,-42.09,18.94,35.42,9.30,16.17,0.46,38.40
396006.62,11.40,-60.18,14.38,-28.78,113.00,-41.36,18.54,20.74,7.91,17.64,-1.17,27.95
396733.78,-9.17,-59.25,18.62,-27.97,116.81,-37.47,11.90,7.56,7.51,17.43,0.67,20.09
397460.94,-20.29,-52.09,24.41,-16.98,99.91,-34.73,5.73,-3.81,7.58,14.82,1.75,22.58
398188.09,-13.54,-46.52,28.69,-14.53,81.42,-35.39,3.48,-10.25,4.73,10.54,0.27,30.45
398915.25,3.83,-48.48,32.59,-38.14,80.76,-37.60,2.43,-9.92,-0.35,8.21,-1.15,34.55
399642.37,16.38,-53.74,31.02,-73.44,93.05,-40.54,1.14,-6.25,-4.62,11.17,-0.81,29.72
400369.53,16.88,-55.83,20.90,-92.91,100.58,-44.71,5.86,-4.02,-6.90,17.06,0.71,18.70
401096.69,12.22,-54.27,10.15,-91.08,96.15,-49.74,20.14,-3.64,-6.05,20.48,0.57,9.63
401823.84,10.47,-51.82,7.59,-83.23,85.05,-54.62,35.31,-2.51,-1.76,19.45,-2.83,8.27
402551.00,10.92,-51.18,12.20,-81.69,73.86,-57.77,41.89,-0.54,2.20,16.30,-5.11,14.07
403278.16,9.72,-52.67,17.04,-85.30,67.35,-57.51,40.13,-0.19,2.52,14.80,-2.38,22.08
404005.31,5.64,-52.32,18.43,-89.38,67.04,-53.55,32.94,-2.00,1.67,16.30,1.70,27.05
404732.47,-1.54,-47.50,18.59,-95.75,67.66,-47.15,22.34,-4.19,2.58,18.75,2.25,26.71
405459.62,-10.44,-41.45,20.96,-106.10,64.87,-40.72,13.40,-5.23,3.18,20.11,-0.25,21.95
406186.75,-15.67,-37.37,26.23,-114.72,62.44,-37.46,11.70,-4.64,1.21,20.42,-2.84,16.28
406913.91,-12.95,-34.93,31.84,-116.74,65.12,-37.80,9.99,-2.98,-0.92,20.81,-4.84,13.82
407641.06,-7.55,-34.15,33.06,-115.16,73.90,-37.93,10.75,-1.74,-0.48,21.48,-6.74,14.11
408368.22,-9.15,-36.31,27.66,-114.61,86.68,-34.78,14.22,-2.31,0.69,20.69,-6.29,12.45
409095.37,-17.09,-40.16,20.26,-114.31,96.89,-30.55,23.67,-3.48,0.11,18.05,-0.88,6.95
409822.53,-22.39,-41.01,17.78,-111.24,99.65,-29.49,43.28,-1.18,0.09,16.70,7.00,0.83
410549.69,-22.44,-35.52,21.31,-108.07,98.77,-32.06,66.86,6.05,3.17,18.37,11.58,-2.30
411276.84,-20.38,-27.97,26.57,-112.30,99.86,-33.56,78.88,12.78,7.55,19.95,10.19,-2.22
412003.97,-17.41,-27.45,30.01,-123.94,101.49,-28.80,74.50,12.47,10.48,18.32,5.83,-0.12
412731.12,-14.94,-35.82,30.37,-131.07,100.03,-19.73,64.07,6.12,10.32,14.49,3.74,3.58
413458.28,-15.73,-45.31,27.71,-123.77,96.75,-15.80,54.18,1.46,6.70,11.01,5.85,7.11
414185.44,-19.63,-49.84,26.17,-107.11,92.09,-22.61,43.19,4.17,2.23,8.61,8.91,7.41
414912.59,-23.08,-49.13,33.31,-94.93,81.91,-34.95,31.62,11.60,0.51,6.96,8.84,4.83
415639.75,-22.51,-44.50,50.49,-92.94,66.86,-43.70,21.42,15.44,2.72,6.52,6.23,3.71
416366.91,-17.96,-39.26,67.76,-94.32,55.18,-44.68,12.46,11.23,6.77,7.42,5.03,7.01
417094.06,-13.22,-36.76,73.04,-92.49,52.63,-40.47,6.31,3.20,8.76,7.76,7.00,13.54
417821.22,-12.18,-35.34,64.08,-89.40,56.65,-36.00,6.53,-2.01,7.12,6.84,10.80,18.48
418548.34,-15.10,-32.46,57.06,-89.19,61.72,-32.37,13.81,-2.17,3.54,7.58,13.63,15.65
419275.50,-18.08,-29.71,50.03,-91.90,66.66,-27.28,23.97,0.96,-0.25,11.88,11.69,5.11
420002.66,-17.37,-29.45,40.96,-93.10,72.39,-19.93,31.55,3.83,-3.09,17.25,3.80,-3.92
420729.81,-13.87,-32.01,36.72,-86.38,75.38,-10.95,34.10,2.92,-4.01,20.70,-4.37,-3.44
421456.97,-10.94,-35.65,32.63,-69.65,72.86,-2.90,32.21,-1.84,-2.91,21.59,-5.91,5.02
422184.12,-8.57,-36.52,31.65,-50.41,70.82,-1.88,27.94,-6.38,-0.57,20.92,-1.68,13.52
422911.28,-4.69,-34.01,36.99,-40.66,76.58,-9.02,24.46,-7.67,1.65,20.13,2.59,14.82
423638.44,-2.75,-33.96,39.61,-46.41,88.73,-16.74,24.16,-7.22,2.86,19.15,3.61,9.21
424365.56,-9.23,-39.30,29.86,-62.91,99.71,-20.66,25.76,-7.48,2.98,16.54,2.23,3.85
425092.72,-22.01,-45.37,14.24,-76.37,102.44,-23.79,25.17,-8.80,1.22,12.56,2.55,2.83
425819.87,-31.92,-48.50,6.21,-74.24,94.64,-28.65,20.32,-11.19,-2.60,9.80,5.78,4.77
426547.03,-35.78,-49.22,7.98,-61.52,80.16,-33.58,13.28,-14.23,-5.22,10.83,6.21,9.48
427274.19,-36.44,-47.87,11.93,-57.54,66.81,-33.94,7.26,-15.33,-3.42,14.78,1.40,16.09
428001.34,-32.86,-43.93,14.43,-69.10,62.15,-29.25,4.31,-11.22,1.23,16.46,-2.13,18.31
428728.50,-21.69,-37.20,18.62,-82.56,65.49,-27.19,4.60,-1.04,5.48,12.93,-1.60,13.03
429455.66,-6.91,-28.79,25.19,-86.23,65.39,-30.56,5.67,11.54,8.74,8.68,-1.35,7.75
430182.81,1.87,-22.27,29.68,-82.18,54.68,-32.16,6.13,19.70,11.12,9.80,-1.25,10.70
430909.94,0.35,-22.42,29.64,-77.01,41.91,-30.78,8.94,18.85,11.37,16.53,0.98,19.36
431637.09,-6.92,-30.30,26.84,-76.40,38.47,-33.66,14.63,11.03,9.62,23.89,2.05,24.48
432364.25,-13.46,-40.19,23.18,-75.79,44.40,-40.55,16.74,2.85,8.82,26.76,0.03,22.92
433091.41,-18.58,-44.48,20.29,-80.03,53.79,-43.84,12.42,-0.95,9.66,24.88,-1.72,19.74
433818.56,-24.12,-41.16,19.54,-84.79,63.56,-42.06,9.10,0.57,8.15,22.27,-1.25,18.00
434545.72,-26.32,-34.80,18.94,-84.15,72.84,-39.51,13.64,6.50,3.25,21.08,-0.09,15.74
435272.87,-20.11,-31.03,15.96,-77.17,80.97,-37.06,22.72,12.59,-0.18,19.91,-0.06,12.26
436000.03,-9.31,-30.77,12.67,-65.89,88.12,-33.64,28.61,11.80,0.34,17.59,-0.99,9.91
436727.16,-2.83,-31.45,13.09,-56.25,93.98,-31.64,28.02,2.35,1.49,15.75,-1.00,10.15
437454.31,-3.09,-32.00,17.89,-57.29,97.19,-33.29,23.05,-8.72,1.07,16.72,0.84,10.84
438181.47,-4.82,-33.54,22.41,-69.76,97.76,-36.70,18.19,-14.36,1.19,18.95,2.44,9.84
438908.62,-2.61,-38.03,20.82,-80.73,95.98,-38.75,18.36,-15.28,2.96,18.99,1.17,9.51
439635.78,4.47,-45.84,14.05,-75.45,90.61,-38.51,25.02,-15.81,4.14,17.40,-1.76,12.68
440362.94,10.97,-53.16,8.27,-56.11,84.09,-37.57,32.10,-16.65,3.47,16.35,-2.50,17.26
441090.09,8.65,-55.78,7.01,-43.97,82.55,-38.21,31.79,-15.25,3.01,16.22,0.13,19.12
441817.25,-1.56,-54.68,10.56,-51.94,85.88,-40.18,25.15,-13.64,4.11,17.37,3.07,17.72
442544.41,-10.18,-53.83,15.94,-66.66,87.26,-40.40,19.90,-12.02,5.10,18.95,3.91,16.97
443271.53,-14.62,-52.81,16.73,-71.59,84.94,-37.37,19.40,-10.61,4.76,18.74,4.28,19.20
443998.69,-17.80,-46.96,12.21,-68.92,84.39,-33.83,21.78,-12.07,3.52,17.38,6.26,20.36
444725.84,-17.07,-37.41,10.78,-69.23,86.96,-32.76,25.06,-13.70,0.99,17.07,8.61,17.13
445453.00,-13.07,-32.59,18.66,-76.09,87.97,-31.90,26.02,-12.32,-2.49,18.50,8.66,13.46
446180.16,-15.31,-36.46,32.09,-84.88,87.67,-27.30,21.10,-7.82,-4.06,21.60,6.39,12.74
446907.31,-23.81,-42.91,40.68,-90.78,88.85,-21.16,12.66,-5.46,-2.02,24.58,4.58,12.23
447634.47,-24.99,-43.44,36.83,-95.33,86.16,-18.68,6.36,-9.85,1.62,25.08,5.25,10.21
448361.62,-12.21,-37.01,22.97,-102.53,74.62,-18.77,3.51,-16.66,3.80,23.53,7.65,8.20
449088.75,8.50,-29.96,7.63,-110.52,63.15,-16.78,2.69,-18.54,3.06,21.09,9.73,5.42
449815.91,27.66,-26.47,-3.03,-111.00,64.72,-14.52,3.59,-16.97,0.53,17.63,10.49,1.15
450543.06,36.19,-25.57,-6.58,-99.08,76.72,-18.02,5.38,-17.71,-0.79,14.25,10.34,-1.11
451270.22,31.06,-26.61,-3.10,-82.16,84.77,-27.24,7.70,-20.31,0.31,13.19,9.07,2.04
451997.37,20.04,-29.39,5.12,-73.60,84.30,-36.77,12.37,-21.04,1.61,15.41,5.31,8.61
452724.53,11.84,-32.09,14.75,-78.66,81.33,-43.11,16.07,-19.17,1.25,19.40,-0.27,12.30
453451.69,6.31,-33.80,20.77,-92.94,77.49,-45.14,19.76,-15.72,0.42,21.82,-4.36,10.22
454178.84,-0.93,-34.61,18.68,-109.68,70.49,-43.09,25.76,-12.26,1.16,21.18,-5.18,6.13
454906.00,-11.22,-34.76,10.28,-123.38,60.01,-39.29,26.19,-10.86,3.51,19.26,-2.93,3.67
455633.12,-22.39,-35.52,2.41,-131.55,46.96,-35.94,21.49,-10.29,5.52,17.29,1.33,3.60
456360.28,-30.27,-36.68,-0.88,-134.40,35.08,-32.64,14.38,-4.89,5.67,14.75,4.32,6.30
457087.44,-31.60,-36.07,-1.02,-131.22,29.70,-27.50,6.99,7.38,5.02,12.12,3.67,9.58
457814.59,-26.86,-32.66,-1.16,-121.15,31.94,-20.15,2.74,18.59,5.52,11.62,2.09,9.24
458541.75,-17.93,-27.96,-0.77,-108.51,38.42,-13.87,4.66,19.58,7.61,14.18,3.48,6.59
459268.91,-6.60,-25.74,1.63,-101.21,43.82,-13.46,10.29,11.80,10.33,17.13,7.47,7.71
459996.06,1.47,-27.67,8.10,-101.08,44.49,-19.21,14.45,3.43,11.20,17.85,10.89,12.89
460723.22,-0.29,-30.34,16.67,-102.99,42.30,-24.52,15.84,-0.87,7.95,17.47,12.05,15.34
461450.34,-8.57,-31.44,24.63,-104.05,41.51,-24.35,16.42,-1.83,3.52,18.11,10.83,12.29
462177.50,-12.73,-33.33,32.13,-104.79,43.74,-22.38,17.29,-2.01,3.20,19.98,7.63,8.86
462904.66,-10.51,-36.98,36.90,-103.51,48.55,-22.65,17.94,-3.55,6.42,21.81,4.32,9.70
463631.81,-8.02,-39.24,33.97,-97.19,54.63,-21.77,17.75,-7.14,8.70,21.50,2.57,13.16
464358.97,-6.36,-37.19,23.94,-86.57,61.30,-17.71,16.78,-11.74,9.16,18.18,1.89,15.09
465086.12,-4.29,-32.32,13.23,-78.88,68.72,-15.12,15.00,-15.20,9.83,13.54,3.28,14.03
465813.28,-4.97,-30.05,8.28,-82.87,72.92,-16.66,12.28,-15.16,10.15,10.13,8.44,11.03
466540.44,-7.88,-33.92,12.92,-97.60,68.63,-19.72,8.83,-11.32,7.20,10.35,12.00,8.50
467267.59,-9.53,-40.85,23.88,-111.26,59.75,-22.27,5.13,-5.63,0.88,15.00,7.30,8.86
467994.72,-12.01,-44.66,30.38,-114.12,54.59,-25.05,1.71,1.35,-4.66,20.90,-0.58,12.19
468721.87,-16.95,-43.34,26.08,-108.87,54.00,-28.57,-1.96,9.81,-4.96,22.89,-2.15,16.74
469449.03,-20.26,-40.02,16.77,-105.24,54.70,-30.91,-6.71,19.01,0.24,19.17,2.10,20.68
470176.19,-18.80,-37.35,11.54,-107.20,56.23,-31.13,-10.58,28.88,6.47,12.79,5.93,21.88
470903.34,-14.56,-34.83,11.70,-110.28,58.49,-32.30,-10.91,36.76,9.21,8.19,6.96,19.28
471630.50,-10.53,-32.20,11.55,-109.82,59.76,-36.95,-9.17,37.44,8.40,7.13,6.48,13.92
472357.66,-6.49,-31.50,6.41,-106.45,59.62,-43.05,-7.86,31.31,6.13,8.27,5.53,7.36
473084.81,-1.24,-35.11,-1.62,-104.34,60.14,-46.67,-5.95,23.49,2.71,11.69,4.30,2.20
473811.94,1.88,-42.44,-5.99,-105.96,61.98,-46.28,-3.73,17.28,-2.11,18.81,3.09,2.37
474539.09,-4.02,-49.06,-3.84,-109.56,60.22,-44.15,-5.17,13.12,-6.37,25.10,2.61,8.92
475266.25,-18.66,-50.67,1.63,-113.59,51.34,-43.15,-9.62,8.78,-6.78,23.43,3.83,17.45
475993.41,-33.03,-47.37,6.88,-118.14,41.84,-42.65,-9.98,1.59,-2.75,15.86,5.96,21.52
476720.56,-43.73,-42.94,10.65,-118.28,39.55,-40.42,-4.63,-8.06,2.63,9.61,5.60,18.96
477447.72,-54.60,-40.90,12.96,-106.31,42.36,-36.78,-1.04,-16.99,6.45,6.05,1.48,13.63
478174.87,-63.78,-40.83,14.98,-85.90,44.93,-34.01,-3.18,-22.22,7.97,4.75,-3.02,9.43
478902.03,-65.35,-39.42,17.09,-72.25,47.30,-33.14,-6.50,-23.79,7.21,8.07,-3.29,5.98
479629.19,-59.11,-35.50,18.89,-73.19,49.59,-33.31,-6.49,-24.28,5.36,14.04,1.79,2.41
480356.31,-49.06,-31.87,22.10,-82.72,50.27,-34.15,-2.77,-24.33,4.49,15.90,7.78,0.99
481083.47,-38.56,-31.34,27.81,-94.04,51.78,-36.67,3.42,-21.79,5.29,12.43,10.11,4.28
481810.62,-30.00,-32.46,33.08,-105.94,56.00,-40.54,9.89,-16.25,6.57,8.96,9.94,12.79
482537.78,-24.03,-32.52,33.86,-116.95,60.76,-44.07,13.78,-9.96,5.85,8.45,9.44,25.00
483264.94,-16.93,-33.53,28.40,-122.39,67.67,-47.30,13.66,-3.67,2.02,9.98,7.16,34.62
483992.09,-4.65,-38.89,17.98,-118.51,79.95,-50.37,10.07,4.13,-1.82,13.15,2.59,34.17
484719.25,7.94,-46.60,5.95,-108.39,91.48,-51.08,4.18,11.70,-1.31,17.23,-1.26,26.12
485446.41,10.72,-51.89,-2.76,-101.67,92.25,-48.49,-2.63,12.56,3.50,20.02,-1.96,20.53
486173.53,3.46,-52.49,-2.91,-105.23,83.07,-45.72,-7.21,4.75,8.93,21.22,-0.46,19.74
486900.69,-3.38,-49.44,5.92,-114.33,73.37,-47.38,-4.54,-5.21,12.72,22.13,1.56,17.49
487627.84,-3.28,-45.76,20.33,-118.80,69.02,-53.72,6.29,-12.22,15.02,23.05,4.58,12.19
